DISTRITO,0
AGUA RASA,0.35518780366545766
ALTO DE PINHEIROS,0.04294436776738568
ANHANGUERA,1.0656975073828443
ARICANDUVA,0.4766791298083193
ARTUR ALVIM,0.8646870240625909
BARRA FUNDA,0.03436219903323211
BELA VISTA,0.30822054430393747
BELEM,0.23607668838245896
BOM RETIRO,0.17157632648983598
BRAS,0.09812503080026376
BRASILANDIA,3.587145386296489
BUTANTA,0.5305858771697214
CACHOEIRINHA,1.3286605212527687
CAMBUCI,0.2486147005175115
CAMPO BELO,0.3326931348349223
CAMPO GRANDE,0.773367384875738
CAMPO LIMPO,3.188309208834672
CANGAIBA,1.3371085936004512
CAPAO REDONDO,3.922118159701421
CARRAO,0.3483824120520468
CASA VERDE,0.5361508772082741
CIDADE ADEMAR,1.641138625827165
CIDADE DUTRA,2.2199992021265005
CIDADE LIDER,1.5338279925536276
CIDADE TIRADENTES,4.279552077840271
CONSOLACAO,0.08407843431741084
CURSINO,0.3948468099643002
ERMELINO MATARAZZO,0.8947581387287462
FREGUESIA DO O,1.1938266046560277
GRAJAU,3.0131793281033508
GUAIANASES,1.14773097180657
IGUATEMI,2.2753474856424676
IPIRANGA,0.4890830455569006
ITAIM BIBI,0.19024924830594359
ITAIM PAULISTA,2.8628908029658096
ITAQUERA,1.631885975160656
JABAQUARA,1.401139618140425
JACANA,0.976791603152472
JAGUARA,0.2569622005753405
JAGUARE,0.5228753349476303
JARAGUA,3.3333009267066025
JARDIM ANGELA,3.198232341433537
JARDIM HELENA,1.7515670000861567
JARDIM PAULISTA,0.03174731949704468
JARDIM SAO LUIS,2.6766644462540006
JOSE BONIFACIO,1.0489354590739506
LAJEADO,2.3414570041727445
LAPA,0.10992551280972493
LIBERDADE,0.20681015203513056
LIMAO,0.5216014192761544
MANDAQUI,0.6776896131285727
MARSILAC,0.03660831350662386
MOEMA,0.1350350611764477
MOOCA,0.25692867647872275
MORUMBI,0.22558364614109153
PARELHEIROS,1.3842099493484423
PARI,0.15766382639345422
PARQUE DO CARMO,0.4534469308521926
PEDREIRA,1.6802277224835054
PENHA,0.45663172003088237
PERDIZES,0.14143816363044512
PERUS,1.6784174212661447
PINHEIROS,0.1076123501430976
PIRITUBA,1.3664421781410152
PONTE RASA,0.767835908933803
RAPOSO TAVARES,1.614688113595731
REPUBLICA,0.03828451833751323
RIO PEQUENO,1.3053612741034064
SACOMA,2.7985915856528933
SANTA CECILIA,0.1753310253110282
SANTANA,0.5460069616139036
SANTO AMARO,0.36551322542373615
SAO DOMINGOS,0.9397810004864346
SAO LUCAS,0.8673354276953961
SAO MATEUS,1.3930603108555384
SAO MIGUEL,1.1406573874202168
SAO RAFAEL,1.706309469652144
SAPOPEMBA,3.0416077620352344
SAUDE,0.2171355737934091
SE,0.16557551319525207
SOCORRO,0.3058068093474568
TATUAPE,0.396757683471514
TREMEMBE,1.3024111536010412
TUCURUVI,0.37570455079554355
VILA ANDRADE,1.04333693493878
VILA CURUCA,2.0031988692992693
VILA FORMOSA,0.520394551797914
VILA GUILHERME,0.30067762256493535
VILA JACUI,1.475563112631913
VILA LEOPOLDINA,0.20483223033468112
VILA MARIA,1.0024375370650793
VILA MARIANA,0.240803586005567
VILA MATILDE,0.7279087098620182
VILA MEDEIROS,0.9405855788052616
VILA PRUDENTE,0.546912112222584
VILA SONIA,0.7545603666731592
