TIPOESC,num_alunos
EMEF,12331287
CR.P.CONV,3838225
EMEF      ,3698421
EMEI,2758580
CEU EMEF,1327411
EMEF        ,1240062
CEI INDIR,1177736
CEI DIRET,1036400
EMEI      ,804956
CR.P.CONV ,789706
CIEJA,777131
CEU AT COM,688311
MOVA,587249
CR.P.CONV   ,459882
CEU EMEF  ,392173
CEI INDIR ,336296
CEU EMEI,330952
CEI DIRET ,311174
EMEI        ,284445
EMEFM,256630
CIEJA     ,216556
CEU CEI,197840
MOVA      ,160567
CEU EMEF    ,133771
CEI INDIR   ,127781
CEI DIRET   ,104244
CEU EMEI  ,98674
CCA,81910
CIEJA       ,81119
EMEFM     ,76989
CMCT,75600
CEMEI,75480
MOVA        ,68793
E TEC,64512
CEU CEI   ,59352
ESC.PART.,48728
EMEBS,43821
CEU EMEI    ,33262
EMEFM       ,25663
ESP CONV,23942
CMCT      ,22680
CEU CEMEI,22452
CEU CEI     ,19784
EMEBS     ,14607
E TECNICA,14336
ESC.PART. ,13438
CEMEI       ,10719
CMCT        ,7560
CECI,6156
ESC.PART.   ,5940
CEMEI     ,5513
CCI/CIPS,5160
EMEE,4869
EMEBS       ,4869
CCI/CIPS  ,2232
CECI      ,2052
CCI/CIPS    ,348
EMEF P FOM,39
EMEI P FOM,11
